0.70	3.41	2.98	3.62	0.38	8.16	7.55	7.34	40.00	30.00	2.00
1.15	3.67	2.74	3.77	0.38	8.20	7.52	7.26	40.00	30.00	2.00
0.74	3.39	2.99	3.80	0.41	8.20	7.59	7.20	40.00	30.00	2.00
0.94	3.83	2.99	3.59	0.44	8.22	7.56	7.29	40.00	30.00	2.00
1.12	3.40	2.54	3.31	0.41	8.17	7.55	7.26	40.00	30.00	2.00
0.79	3.36	2.86	3.90	0.39	8.24	7.53	7.27	40.00	30.00	2.00
0.95	3.40	2.68	3.56	0.37	8.10	7.45	7.20	40.00	30.00	2.00
1.04	4.20	2.67	3.48	0.37	8.06	7.44	7.17	40.00	30.00	2.00
0.65	3.52	2.96	3.90	0.40	8.18	7.53	7.31	40.00	30.00	2.00
0.64	3.63	2.88	3.16	0.43	8.09	7.36	7.18	40.00	30.00	2.00
0.93	3.80	2.67	3.40	0.36	8.07	7.47	7.24	40.00	30.00	2.00
0.69	3.80	2.86	3.69	0.40	8.14	7.51	7.19	40.00	30.00	2.00
0.68	3.40	2.83	3.64	0.45	8.17	7.56	7.29	40.00	30.00	2.00
1.15	3.86	2.69	3.49	0.38	8.15	7.49	7.26	40.00	30.00	2.00
0.80	3.55	2.90	3.80	0.42	8.15	7.49	7.26	40.00	30.00	2.00
1.08	3.68	2.87	3.49	0.46	8.17	7.54	7.23	40.00	30.00	2.00
1.02	4.06	2.73	3.73	0.40	8.14	7.53	7.30	40.00	30.00	2.00
0.73	3.86	3.00	3.70	0.41	8.15	7.53	7.25	40.00	30.00	2.00
0.99	4.11	3.02	3.41	0.39	8.09	7.48	7.18	40.00	30.00	2.00
1.10	3.83	2.94	3.64	0.36	8.00	7.43	7.20	40.00	30.00	2.00
0.65	3.68	2.76	3.59	0.41	8.18	7.55	7.25	40.00	30.00	2.00
0.75	4.00	3.04	3.45	0.43	8.01	7.47	7.18	40.00	30.00	2.00
0.88	3.60	2.74	3.34	0.39	7.90	7.26	7.07	40.00	30.00	2.00
0.92	4.29	3.18	3.50	0.38	8.01	7.39	7.10	40.00	30.00	2.00
0.42	3.73	2.98	3.37	0.42	7.89	7.41	7.15	40.00	30.00	2.00
0.94	4.27	2.68	3.26	0.34	7.92	7.37	7.06	40.00	30.00	2.00
0.97	3.42	2.61	3.24	0.34	8.10	7.43	7.26	40.00	30.00	2.00
0.77	3.84	2.59	3.22	0.47	8.03	7.49	7.22	40.00	30.00	2.00
1.17	3.65	2.53	3.12	0.41	8.13	7.42	7.14	40.00	30.00	2.00
0.67	3.47	2.86	2.88	0.32	7.98	7.77	7.31	40.00	30.00	2.00
1.04	3.30	2.57	3.07	0.39	8.18	7.66	7.25	40.00	30.00	2.00
1.15	3.74	2.62	3.11	0.40	8.07	7.41	7.20	40.00	30.00	2.00
0.96	4.26	2.93	3.68	0.42	7.89	7.38	7.06	40.00	30.00	2.00
0.92	3.11	2.64	3.19	0.41	7.89	7.38	7.24	40.00	30.00	2.00
1.16	3.81	2.46	3.34	0.34	7.94	7.40	7.21	40.00	30.00	2.00
1.10	4.22	2.78	3.38	0.40	8.03	7.36	7.15	40.00	30.00	2.00
0.98	3.44	2.34	3.00	0.32	8.02	7.51	7.30	40.00	30.00	2.00
1.00	3.57	2.22	2.90	0.39	8.10	7.54	7.28	40.00	30.00	2.00
0.82	3.43	2.59	2.88	0.41	8.21	7.88	7.28	40.00	30.00	2.00
0.22	4.23	2.55	2.75	0.36	8.14	7.79	7.44	40.00	30.00	2.00
1.19	3.70	2.08	2.54	0.35	8.08	7.46	7.20	40.00	30.00	2.00
0.75	3.62	2.38	3.02	0.40	8.20	7.50	7.18	40.00	30.00	2.00
0.95	3.54	2.06	2.92	0.49	8.20	7.56	7.24	40.00	30.00	2.00
1.16	3.82	2.16	2.72	0.52	8.17	7.53	7.18	40.00	30.00	2.00
