0.65	3.30	3.03	3.65	0.35	8.12	7.64	7.29	40.00	30.00	2.00	0.29
1.60	4.05	2.61	3.63	0.40	8.10	7.30	7.15	40.00	30.00	2.00	0.26
0.60	3.53	2.86	3.52	0.41	8.19	7.49	7.21	40.00	30.00	2.00	0.27
0.82	3.63	2.75	3.63	0.41	8.15	7.54	7.27	40.00	30.00	2.00	0.29
1.07	3.63	2.54	3.30	0.40	8.08	7.44	7.22	40.00	30.00	2.00	0.28
0.73	3.67	2.78	3.47	0.38	8.12	7.46	7.18	40.00	30.00	2.00	0.28
1.18	3.67	2.68	3.33	0.37	8.12	7.42	7.24	40.00	30.00	2.00	0.29
1.20	3.77	2.83	3.37	0.33	8.06	7.43	7.19	40.00	30.00	2.00	0.39
0.73	3.74	2.82	3.59	0.40	8.08	7.50	7.24	40.00	30.00	2.00	0.27
0.98	3.75	2.68	3.76	0.41	8.06	7.54	7.17	40.00	30.00	2.00	0.28
0.89	4.03	2.70	3.43	0.37	8.09	7.45	7.16	40.00	30.00	2.00	0.25
0.95	4.85	2.95	3.63	0.39	8.19	7.53	7.13	40.00	30.00	2.00	0.26
0.82	4.02	2.84	3.28	0.36	8.12	7.51	7.18	40.00	30.00	2.00	0.27
0.95	3.70	2.64	3.51	0.40	8.13	7.48	7.23	40.00	30.00	2.00	0.28
0.63	3.58	3.02	3.86	0.42	8.19	7.49	7.25	40.00	30.00	2.00	0.25
1.05	4.20	2.87	3.57	0.36	8.19	7.52	7.19	40.00	30.00	2.00	0.28
0.80	4.23	2.84	3.38	0.35	8.08	7.48	7.28	40.00	30.00	2.00	0.18
1.05	3.65	2.91	3.50	0.44	8.09	7.53	7.27	40.00	30.00	2.00	0.22
1.30	3.89	2.94	3.79	0.39	8.02	7.38	7.10	40.00	30.00	2.00	0.24
1.07	3.90	2.81	3.68	0.41	8.03	7.45	7.17	40.00	30.00	2.00	0.27
1.20	3.35	2.84	3.42	0.41	8.11	7.50	7.23	40.00	30.00	2.00	0.28
0.57	3.27	2.94	3.65	0.45	8.19	7.69	7.37	40.00	30.00	2.00	0.29
1.05	3.46	2.78	3.42	0.44	7.95	7.35	7.14	40.00	30.00	2.00	0.28
0.80	3.75	2.74	3.60	0.42	8.00	7.48	7.10	40.00	30.00	2.00	0.29
0.76	3.70	2.79	3.36	0.46	7.93	7.40	7.09	40.00	30.00	2.00	0.30
1.12	3.88	2.46	3.17	0.33	7.82	7.30	6.98	40.00	30.00	2.00	0.22
1.03	4.04	2.60	3.38	0.30	8.00	7.37	7.16	40.00	30.00	2.00	0.27
1.07	3.47	2.71	3.39	0.46	7.95	7.49	7.23	40.00	30.00	2.00	0.26
1.30	3.90	2.59	3.12	0.40	8.09	7.41	7.17	40.00	30.00	2.00	0.24
1.12	3.86	2.75	3.72	0.38	8.14	7.60	7.25	40.00	30.00	2.00	0.27
0.65	3.98	2.64	3.10	0.30	8.15	7.59	7.20	40.00	30.00	2.00	0.29
0.94	3.95	2.92	3.17	0.37	7.97	7.30	7.00	40.00	30.00	2.00	0.27
0.96	4.40	2.78	3.82	0.39	7.88	7.32	7.03	40.00	30.00	2.00	0.25
1.10	3.47	2.58	3.20	0.49	7.76	7.40	7.18	40.00	30.00	2.00	0.24
1.35	4.23	2.56	3.22	0.34	8.06	7.43	7.14	40.00	30.00	2.00	0.25
1.27	3.50	2.47	3.08	0.35	7.87	7.43	7.25	40.00	30.00	2.00	0.27
